doi,paper_title,year,journal,sub_field,best_algorithm,ml_algorithms
10.1016/j.jhydrol.2020.125574,Radial basis function artificial neural network (RBF ANN) as well as the hybrid method of RBF ANN and grey relational analysis able to well predict trihalomethanes levels in tap water,2020,Journal of Hydrology,DBP,ANN,"['ANN', 'LR', 'RBF']"
10.1002/wer.11139,Enhancing efficiency and quality control: The impact of Digital Twins in drinking water networks,2024,Water Environment Research,DBP,XGBoost,"['XGBoost', 'clustering']"
10.1002/wer.10932,Performance evaluation of hybrid constructed wetlands for nitrogen removal and statistical approaches,2023,Water Environment Research,WWTP,SVM,"['ANN', 'LR', 'MLR', 'SVM', 'SVR']"
10.1021/acs.iecr.3c03067,Modeling an Adaptive Hybrid Soft Sensor with Co-training Learning toward Applications in Wastewater Treatment,2023,Industrial &amp; Engineering Chemistry Research,WWTP,Co-training RPLS-RELM,"['ANN', 'BP', 'ELM', 'GPR', 'KF', 'LR', 'PLS', 'RBP', 'RELM', 'RPLS', 'RVM']"
10.1016/j.jenvman.2023.119900,Effluent quality prediction of the sewage treatment based on a hybrid neural network model: Comparison and application,2024,Journal of Environmental Management,WWTP,Tent_BP_SSA2,"['ANN', 'BPNN', 'ELMAN', 'RBFNN', 'RNN', 'SSA']"
10.1061/joeedu.eeeng-7467,Unit Operation and Process Modeling with Physics-Informed Machine Learning,2024,Journal of Environmental Engineering,WWTP,PINN,"['ANN', 'DT', 'KNN', 'LSTM', 'PINN', 'PINNs', 'RF', 'RNN', 'SVM']"
10.2166/wst.2024.293,Hybrid modelling of nitrogen removal by biofiltration using high-frequent operational data,2024,Water Science &amp; Technology,WWTP,ANN,"['ANN', 'DT', 'LR', 'SVM']"
10.4491/eer.2024.403,Carbon emission prediction and reduction analysis of wastewater treatment plants based on hybrid machine learning models,2024,Environmental Engineering Research,WWTP,GWO-SVR-ANN,"['ANN', 'AdaBoost', 'DT', 'GBDT', 'GBM', 'LR', 'SVR']"
10.3390/agronomy15030703,Assessing Agricultural Reuse Potential of Treated Wastewater: A Hybrid Machine Learning Approach,2025,Agronomy,WWTP,ANN,"['ANFIS', 'ANN', 'FLM']"
10.3390/w17131851,Using Hybrid Machine Learning to Predict Wastewater Effluent Quality and Ensure Treatment Plant Stability,2025,Water,WWTP,Attention-LSTM1-XGBoost,"['ANN', 'EEMD', 'ELM', 'EMD', 'GRU', 'LSSVM', 'LSTM', 'RF', 'RL', 'SVM', 'TCN', 'XGBoost']"
10.2166/ws.2023.328,Reinforcement learning-based DSS for coagulant and disinfectant dosage selection on drinking water treatment plants,2023,Water Supply,coagulation,RL,"['ANN', 'RL']"
10.3390/w15061126,A Non-Hybrid Data-Driven Fuzzy Inference System for Coagulant Dosage in Drinking Water Treatment Plant: Machine-Learning for Accurate Real-Time Prediction,2023,Water,coagulation,D2FIS,"['ANFIS', 'ANN', 'CCN', 'D2FIS', 'GEP', 'GMDH', 'MLP', 'PNN', 'RBFN', 'RF', 'SGT', 'SVM', 'SVR']"
10.1061/joeedu.eeeng-7969,Enhancing Coagulation Prediction in Water Treatment Using a Similarity Score–Based Piecewise Machine Learning Model,2025,Journal of Environmental Engineering,coagulation,"hybrid ML model (RFR, Linear SVR, MLP)","['ANN', 'RF', 'SVR', 'Stacking']"
10.1007/s13201-025-02485-3,Optimal design of a hybrid system composed of coagulation process and multi-stage filtration unit for on-site treatment of greywater in rural area,2025,Applied Water Science,coagulation,ANN,['ANN']
10.14569/ijacsa.2018.090153,Nonlinear Model Predictive Control for pH Neutralization Process based on SOMA Algorithm,2018,International Journal of Advanced Computer Science and Applications,control,NMPC with SOMA,"['ANN', 'MPC', 'PID', 'SOMA']"
10.1109/access.2019.2950852,LSTM-Based Wastewater Treatment Plants Operation Strategies for Effluent Quality Improvement,2019,IEEE Access,control,LSTM,"['LSTM', 'MLP', 'MPC', 'RNN']"
10.2166/wst.2020.053,An autonomous operational trajectory searching system for an economic and environmental membrane bioreactor plant using deep reinforcement learning,2020,Water Science and Technology,control,DQN,"['DNN', 'DQN', 'DRL', 'RL']"
10.3390/en13133338,SMART Computational Solutions for the Optimization of Selected Technology Processes as an Innovation and Progress in Improving Energy Efficiency of Smart Cities—A Case Study,2020,Energies,control,MPC,"['ANN', 'MC SVM', 'MPC', 'PID', 'SVM']"
10.3390/s20133743,Denoising Autoencoders and LSTM-Based Artificial Neural Networks Data Processing for Its Application to Internal Model Control in Industrial Environments—The Wastewater Treatment Plant Control Case,2020,Sensors,control,LSTM,"['ANN', 'ARIMA', 'DAE', 'LSTM', 'MLP', 'MPC', 'PCA', 'RNN']"
10.1007/s40747-021-00395-w,Reinforcement learning-based particle swarm optimization for sewage treatment control,2021,Complex &amp; Intelligent Systems,control,RLPSO,"['ANN', 'APSO', 'CPSO', 'DE', 'HNN', 'PSO', 'RL', 'SLPSO']"
10.1109/access.2021.3094466,Deep Reinforcement Learning-Based Smart Joint Control Scheme for On/Off Pumping Systems in Wastewater Treatment Plants,2021,IEEE Access,control,RL,"['DNN', 'DQN', 'DRL', 'ILP', 'MPC', 'PPO', 'RL']"
10.2166/wst.2021.511,Model predictive control based on artificial intelligence and EPA-SWMM model to reduce CSOs impacts in sewer systems,2021,Water Science and Technology,control,ANN,"['ANN', 'MPC']"
10.1021/acs.est.3c00353,Systematic Performance Evaluation of Reinforcement Learning Algorithms Applied to Wastewater Treatment Control Optimization,2023,Environmental Science &amp; Technology,control,TD3,"['A2C', 'DQN', 'PPO', 'RL', 'TD3']"
10.1109/etfa54631.2023.10275522,Optimal set point generation based on deep reinforcement learning and transfer knowledge for Wastewater Treatment Plants,2023,2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),control,RL,"['ANN', 'DNN', 'RL']"
10.3390/app13084752,Advanced Control by Reinforcement Learning for Wastewater Treatment Plants: A Comparison with Traditional Approaches,2023,Applied Sciences,control,RL,"['ANN', 'DT', 'GRU', 'KNN', 'LSTM', 'RF', 'RL', 'RNN', 'SVM', 'SVR']"
10.3390/pr11082269,Intelligent Control of Wastewater Treatment Plants Based on Model-Free Deep Reinforcement Learning,2023,Processes,control,RL (Policy Gradient with Transfer Learning),"['DNN', 'PG', 'RL']"
10.3390/s23218679,Multivariable Coupled System Control Method Based on Deep Reinforcement Learning,2023,Sensors,control,RL,"['DNN', 'PPO', 'RL']"
10.3390/w15061131,Online Control of the Raw Water System of a High-Sediment River Based on Deep Reinforcement Learning,2023,Water,control,RL,"['ANN', 'MLP', 'PPO', 'RL']"
10.3390/w15091779,LSTM-Based Model-Predictive Control with Rationality Verification for Bioreactors in Wastewater Treatment,2023,Water,control,LSTM,"['ANN', 'DNN', 'LSTM', 'MPC']"
10.1016/j.engappai.2024.107992,Deep learning based simulators for the phosphorus removal process control in wastewater treatment via deep reinforcement learning algorithms,2024,Engineering Applications of Artificial Intelligence,control,LSTM,"['Autoformer', 'DLinear', 'GBM', 'Informer', 'LSTM', 'LTSF Linear', 'NLinear', 'RL', 'Transformer']"
10.1109/access.2024.3458186,Optimizing Control of Wastewater Treatment Plant With Reinforcement Learning: Technical Evaluation of Twin-Delayed Deep Deterministic Policy Gradient Agent,2024,IEEE Access,control,twin-delayed deep deterministic policy gradient,"['RL', 'TD3']"
10.1109/tai.2023.3347182,Fuzzy Neural Network-Based Adaptive Asymmetric Constraint Control in Wastewater Treatment Process,2024,IEEE Transactions on Artificial Intelligence,control,ANN,"['ANN', 'FNN', 'MPC', 'PID', 'RBF']"
10.1109/tii.2024.3413357,Neural Network-Based Adaptive Fault-Tolerant Control of Dissolved Oxygen and Nitrate Concentrations in WWTPs,2024,IEEE Transactions on Industrial Informatics,control,ANN,"['ANN', 'MPC']"
10.3390/s24051568,Digital Twin Platform for Water Treatment Plants Using Microservices Architecture,2024,Sensors,control,LSTM,"['LSTM', 'PCA', 'RNN']"
10.3390/w16243710,Real-Time Control of A2O Process in Wastewater Treatment Through Fast Deep Reinforcement Learning Based on Data-Driven Simulation Model,2024,Water,control,DQN,"['ANN', 'DNN', 'DQN', 'LSTM', 'RL']"
10.1016/j.biortech.2025.132210,Bayesian Optimization-Enhanced Reinforcement learning for Self-adaptive and multi-objective control of wastewater treatment,2025,Bioresource Technology,control,RL + BO,"['Bayesian', 'DQN', 'GPR', 'RL']"
10.1016/j.dwt.2025.101451,Safe reinforcement learning for wastewater treatment with an input convex safety critic,2025,Desalination and Water Treatment,control,Safe SAC,"['DNN', 'MPC', 'RL', 'RLPSO', 'SAC']"
10.1016/j.jwpe.2025.108420,Improving aeration efficiency in wastewater treatment systems through collaborative reinforcement learning: A multi-objective approach to overshoot and settling time reduction,2025,Journal of Water Process Engineering,control,ZN-PPO,"['ANN', 'PPO', 'RL', 'SAC']"
10.1109/southeastcon56624.2025.10971695,Reinforcement Learning-Based Control Framework for Wastewater Treatment Process Aeration Control,2025,SoutheastCon 2025,control,RL,"['MPC', 'RL', 'SAC']"
10.1109/tase.2025.3584762,Optimizing Wastewater Treatment Control Using Policy-Constrained Offline Reinforcement Learning and Lyapunov Density Model,2025,IEEE Transactions on Automation Science and Engineering,control,PCORL-CL,"['ADP', 'ANN', 'CVAE', 'DNN', 'MPC', 'RL']"
10.1109/tii.2025.3626044,Reinforcement Learning-Based Adaptive Event-Triggered Control for Wastewater Treatment Process,2026,IEEE Transactions on Industrial Informatics,control,RL,"['ANFIS', 'ANN', 'FNN', 'RL']"
10.4236/jamp.2020.812201,Deep Learning Based Model Predictive Control for a Reverse Osmosis Desalination Plant,2020,Journal of Applied Mathematics and Physics,membrane,LSTM,"['ANN', 'LSTM', 'MPC', 'RNN']"
10.1002/cem.3434,Artificial intelligence‐based multiobjective optimization of reverse osmosis desalination pretreatment using a hybrid ZnO‐immobilized/photo‐Fenton process,2022,Journal of Chemometrics,membrane,ANN-NSGA-III,"['ANN', 'RSM']"
10.1039/d3va00124e,Ensemble hybrid machine learning to simulate dye/divalent salt fractionation using a loose nanofiltration membrane,2023,Environmental Science: Advances,membrane,ANFIS,"['ANFIS', 'ANN', 'LSSVM', 'NF', 'SAE', 'Stacking']"
10.3390/membranes13120900,Permeation Flux Prediction of Vacuum Membrane Distillation Using Hybrid Machine Learning Techniques,2023,Membranes,membrane,SVR-SHO,"['ANN', 'LR', 'MLR', 'RF', 'SHO', 'SVR']"
10.3390/w15193515,Integrated Modeling of Hybrid Nanofiltration/Reverse Osmosis Desalination Plant Using Deep Learning-Based Crow Search Optimization Algorithm,2023,Water,membrane,LSTM-CSA,"['ANN', 'CSA', 'GA', 'LSSVM', 'LSTM', 'PSO', 'RF', 'RNN']"
10.1016/j.memsci.2025.124133,Development of physics-informed machine-learning models to enhance understanding and prediction of membrane fouling,2025,Journal of Membrane Science,membrane,PINN,"['ANN', 'GBM', 'LR', 'PINN', 'RF', 'SVR']"
10.3390/w17030297,Harnessing Physics-Informed Neural Networks for Performance Monitoring in SWRO Desalination,2025,Water,membrane,PINN,"['ANN', 'PINN']"
10.2166/ws.2021.062,Detection of water quality failure events at treatment works using a hybrid two-stage method with CUSUM and random forest algorithms,2021,Water Supply,monitoring,RF,"['ANN', 'CUSUM', 'DNN', 'LR', 'LSTM', 'RF', 'RNN', 'SVM']"
10.30955/gnj.003923,Improving Water Quality Assessment through Anomaly Detection Using Hybrid Convolutional Neural Network Approach,2021,Global NEST Journal,monitoring,Hybrid CNN-ELM,"['ANN', 'CNN', 'ELM', 'LR', 'LSTM', 'RNN', 'SVM']"
10.3390/w14223591,Real-Time Data-Processing Framework with Model Updating for Digital Twins of Water Treatment Facilities,2022,Water,monitoring,NGBoost,"['DT', 'NGBoost']"
10.1016/j.dwt.2024.100895,A study on a hybrid water quality prediction model using sequence to sequence learning based LSTM And machine learning,2024,Desalination and Water Treatment,monitoring,LSTM Seq2Seq + XGB/k-NN,"['ARIMA', 'AdaBoost', 'CNN', 'GRU', 'KNN', 'LSTM', 'RF', 'RNN', 'SVR', 'XGB', 'XGBoost']"
10.1016/j.jenvman.2024.121907,Learning a neural network-based soft sensor with double-errors parallel optimization towards effluent variable prediction in wastewater treatment plants,2024,Journal of Environmental Management,monitoring,ANN,"['ANN', 'BPNN', 'GPR', 'LR', 'MLR', 'PLS', 'RVM']"
10.3390/w16243611,Optimizing Chemical Oxygen Demand Prediction in Spectroscopy Through Hybrid Feature Engineering and Regression-Based Similarity Analysis,2024,Water,monitoring,LR,"['FA', 'KNN', 'LR', 'RF', 'SVR']"
10.14428/esann/2023.es2023-133,Hybrid modelling of dynamic anaerobic digestion process in full-scale with LSTM NN and BMP measurements,2023,ESANN 2023 proceesdings,sludge,LSTM,"['ANN', 'LSTM']"
10.1109/idaacs68557.2025.11322119,Prediction of Biogas Production Using LSTM-Based Neural Networks,2025,2025 IEEE 13th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),sludge,ARIMA-LSTM Hybrid,"['ANN', 'ARIMA', 'GRU', 'LSTM', 'RF', 'SVR', 'XGBoost']"
